feature,source_strategy,source_kind
The product provides 4MP 8MP.,table_extraction_agent,raw_table
The product provides 4.0MP 8.0MP(4KULTRAHD).,table_extraction_agent,raw_table
The product provides primary.,table_extraction_agent,raw_table
The product provides secondary.,table_extraction_agent,raw_table
The product provides tertiary.,table_extraction_agent,raw_table
The product provides wDROff.,table_extraction_agent,raw_table
The product provides wDROn (IEC62676).,table_extraction_agent,raw_table
The product provides wDROn.,table_extraction_agent,raw_table
The product provides 4.4-9.3MM 10.9-29MM.,table_extraction_agent,raw_table
The product provides 4MP.,table_extraction_agent,raw_table
The product provides 8MP.,table_extraction_agent,raw_table
The product provides 4MP.,table_extraction_agent,raw_table
The product provides 8MP.,table_extraction_agent,raw_table
The product provides 4MP&8 MP.,table_extraction_agent,raw_table
The product provides sURFACEMOUNT IN-CEILINGMOUNT PENDANTMOUNT.,table_extraction_agent,raw_table
The product provides indoor Dome.,table_extraction_agent,raw_table
The product provides outdoor Dome.,table_extraction_agent,raw_table
The product provides indoor Dome.,table_extraction_agent,raw_table
The product provides outdoor Dome.,table_extraction_agent,raw_table
The product provides poE.,table_extraction_agent,raw_table
The product provides poE+.,table_extraction_agent,raw_table
The product provides poE.,table_extraction_agent,raw_table
The product provides poE+.,table_extraction_agent,raw_table
The product provides iNDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table
The product provides poE.,table_extraction_agent,raw_table
The product provides with External Poweror PoE+.,table_extraction_agent,raw_table
The product provides poE.,table_extraction_agent,raw_table
The product provides with External Poweror PoE+.,table_extraction_agent,raw_table
The product provides iNDOORDOME OUTDOORDOME.,table_extraction_agent,raw_table
The product provides [X.XX] INCHES.,table_extraction_agent,raw_table
The product provides x.X MM.,table_extraction_agent,raw_table
The product provides mP WDR LIGHTCATCHER TECHNOLOGY LENS IR ANALYTICS HDSM SMARTCODEC MICROPHONE.,table_extraction_agent,raw_table
The product provides 4.4-9.3 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides 10.9-29 4.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides 4.4-9.3 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
The product provides 10.9-29 8.0 ✓ ✓ ✓ ✓ ✓ ✓ mm.,table_extraction_agent,raw_table
